side,media_id,title_romaji,title_english,title_native,site_url
only_in_tayo6,20,NARUTO,Naruto,NARUTO -ナルト-,https://anilist.co/anime/20
only_in_tayo6,30,Shin Seiki Evangelion,Neon Genesis Evangelion,新世紀エヴァンゲリオン,https://anilist.co/anime/30
only_in_tayo6,31,Shin Seiki Evangelion Movie: Shi to Shinsei,Neon Genesis Evangelion: Death & Rebirth,新世紀エヴァンゲリオン劇場版 シト新生,https://anilist.co/anime/31
only_in_tayo6,32,"Shin Seiki Evangelion Movie: Air / Magokoro wo, Kimi ni",Neon Genesis Evangelion: The End of Evangelion,新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,https://anilist.co/anime/32
only_in_tayo6,71,Full Metal Panic!,Full Metal Panic!,フルメタル・パニック！,https://anilist.co/anime/71
only_in_tayo6,73,Full Metal Panic! The Second Raid,Full Metal Panic! The Second Raid,フルメタル パニック！The Second Raid,https://anilist.co/anime/73
only_in_tayo6,157,Mahou Sensei Negima!,Negima!,魔法先生 ネギま！,https://anilist.co/anime/157
only_in_tayo6,268,GOLDEN BOY: Sasurai no Obenkyou Yarou,GOLDEN BOY,GOLDEN BOY さすらいのお勉強野郎,https://anilist.co/anime/268
only_in_tayo6,270,HELLSING,Hellsing,HELLSING,https://anilist.co/anime/270
only_in_tayo6,357,Bokusatsu Tenshi Dokuro-chan,Bludgeoning Angel Dokuro-chan,撲殺天使ドクロちゃん,https://anilist.co/anime/357
only_in_tayo6,488,Ichigo Mashimaro,Strawberry Marshmallow,苺ましまろ,https://anilist.co/anime/488
only_in_tayo6,558,Major S2,,メジャー  (第2シリーズ),https://anilist.co/anime/558
only_in_tayo6,627,Major S1,,メジャー (第1シリーズ),https://anilist.co/anime/627
only_in_tayo6,666,JoJo no Kimyou na Bouken,JoJo's Bizarre Adventure,ジョジョの奇妙な冒険,https://anilist.co/anime/666
only_in_tayo6,756,School Days,,School Days,https://anilist.co/anime/756
only_in_tayo6,777,HELLSING OVA,Hellsing Ultimate,HELLSING OVA,https://anilist.co/anime/777
only_in_tayo6,779,Meitantei Conan: Tokei Jikake no Matenrou,Case Closed: The Time Bombed Skyscraper,名探偵コナン 時計じかけの摩天楼,https://anilist.co/anime/779
only_in_tayo6,781,Meitantei Conan: Seikimatsu no Majutsushi,Case Closed: The Last Wizard of the Century,名探偵コナン 世紀末の魔術師,https://anilist.co/anime/781
